Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price_perf,Change_perf,Volume_perf,SCORE
CAKE,Cheesecake Factory Inc,Consumer Cyclical,Restaurants,USA,2890000000.0,17.6,57.96,-0.009300000000000001,1278774.0,-0.015600000000000001,0.159,0.1502,-0.0931,0.1482,0.07629999999999999,52.65%,28.83%,22.43%,0.0279,0.0341,1190000.0,1.08,57.96,-0.009300000000000001,1278774.0,54
SEI,Solaris Energy Infrastructure Inc,Energy,Oil & Gas Equipment & Services,USA,3780000000.0,60.61,55.19,-0.0178,2762741.0,0.0277,0.1972,0.0613,0.6893,0.2006,1.1186,429.15%,462.02%,-,0.0775,0.0726,3110000.0,0.89,55.19,-0.0178,2762741.0,54
INDV,Indivior Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,4420000000.0,35.23,35.38,0.019299999999999998,2009938.0,0.0731,-0.0098,0.4017,0.7515000000000001,-0.0139,1.9119,99.89%,1060.00%,-,0.029300000000000003,0.0352,2600000.0,0.77,35.38,0.019299999999999998,2009938.0,54
GLSI,Greenwich LifeSciences Inc,Healthcare,Biotechnology,USA,416610000.0,,30.07,0.0017000000000000001,329513.0,0.18059999999999998,0.3718,2.2862999999999998,1.7486000000000002,0.43119999999999997,1.2694,57.93%,-16.84%,-,0.1624,0.1788,506910.0,0.65,30.07,0.0017000000000000001,329513.0,54
SDRL,Seadrill Ltd,Energy,Oil & Gas Drilling,Bermuda,2390000000.0,77.05,38.48,-0.0049,869596.0,-0.0052,0.1144,0.26,0.3196,0.1121,0.061799999999999994,-6.24%,-,-,0.0478,0.0447,776290.0,1.12,38.48,-0.0049,869596.0,54
STGW,Stagwell Inc,Communication Services,Advertising Agencies,USA,1520000000.0,78.36,6.01,-0.009899999999999999,2111542.0,-0.0949,0.20929999999999999,0.26530000000000004,0.0489,0.22899999999999998,-0.0796,-12.65%,122.59%,-68.86%,0.0472,0.0642,2860000.0,0.74,6.01,-0.009899999999999999,2111542.0,54
CTRI,Centuri Holdings Inc,Utilities,Utilities - Regulated Gas,USA,2750000000.0,985.71,27.6,-0.0083,1266043.0,-0.0282,0.0832,0.363,0.2661,0.0931,0.2528,-,-,-,0.0301,0.0358,1770000.0,0.71,27.6,-0.0083,1266043.0,54
ORKA,Oruka Therapeutics Inc,Healthcare,Biotechnology,USA,1660000000.0,,34.23,-0.0292,383499.0,-0.004699999999999999,0.17550000000000002,0.2398,1.5188,0.1293,1.8359999999999999,130.60%,18.39%,-92.33%,0.053399999999999996,0.0683,548360.0,0.7,34.23,-0.0292,383499.0,54
FBP,First Bancorp PR,Financial,Banks - Regional,USA,3490000000.0,10.31,22.12,-0.0009,1892236.0,0.0707,0.061399999999999996,0.1491,0.061900000000000004,0.06709999999999999,0.0533,67.83%,125.71%,861.74%,0.0294,0.0276,1310000.0,1.44,22.12,-0.0009,1892236.0,54
FFWM,First Foundation Inc,Financial,Banks - Regional,USA,520510000.0,,6.28,0.026099999999999998,1017190.0,0.0449,0.0397,0.1782,0.2895,0.0195,0.0032,-60.08%,-70.72%,-43.73%,0.041299999999999996,0.0344,847320.0,1.2,6.28,0.026099999999999998,1017190.0,53
